Vivado Simulator 2018.3
Time resolution is 1 ps
RAM[0] = 0
RAM[1] = 5
RAM[2] = 10
RAM[3] = 15
RAM[4] = 20
RAM[5] = 25
RAM[6] = 30
RAM[7] = 35
RAM[8] = 40
RAM[9] = 45
RAM[10] = 50
RAM[11] = 55
RAM[12] = 60
RAM[13] = 65
RAM[14] = 70
RAM[15] = 75
RAM[16] = 80
RAM[17] = 85
RAM[18] = 90
RAM[19] = 95
RAM[20] = 100
RAM[21] = 105
RAM[22] = 110
RAM[23] = 115
RAM[24] = 120
RAM[25] = 125
RAM[26] = 130
RAM[27] = 135
RAM[28] = 140
RAM[29] = 145
RAM[30] = 150
RAM[31] = 155
REGISTER[0] = 0
REGISTER[1] = 1
REGISTER[2] = 2
REGISTER[3] = 3
REGISTER[4] = 4
REGISTER[5] = 5
REGISTER[6] = 6
REGISTER[7] = 7
REGISTER[8] = 8
REGISTER[9] = 9
REGISTER[10] = 10
REGISTER[11] = 11
REGISTER[12] = 12
REGISTER[13] = 13
REGISTER[14] = 14
REGISTER[15] = 15
REGISTER[16] = 16
REGISTER[17] = 17
REGISTER[18] = 18
REGISTER[19] = 19
REGISTER[20] = 20
REGISTER[21] = 21
REGISTER[22] = 22
REGISTER[23] = 23
REGISTER[24] = 24
REGISTER[25] = 25
REGISTER[26] = 26
REGISTER[27] = 27
REGISTER[28] = 28
REGISTER[29] = 29
REGISTER[30] = 30
REGISTER[31] = 0
REGISTER[0] = 0
REGISTER[1] = 1
REGISTER[2] = 2
REGISTER[3] = 3
REGISTER[4] = 4
REGISTER[5] = 5
REGISTER[6] = 6
REGISTER[7] = 7
REGISTER[8] = 8
REGISTER[9] = 9
REGISTER[10] = 10
REGISTER[11] = 11
REGISTER[12] = 12
REGISTER[13] = 13
REGISTER[14] = 14
REGISTER[15] = 15
REGISTER[16] = 16
REGISTER[17] = 17
REGISTER[18] = 18
REGISTER[19] = 19
REGISTER[20] = 20
REGISTER[21] = 21
REGISTER[22] = 22
REGISTER[23] = 23
REGISTER[24] = 24
REGISTER[25] = 25
REGISTER[26] = 26
REGISTER[27] = 27
REGISTER[28] = 28
REGISTER[29] = 29
REGISTER[30] = 30
REGISTER[31] = 0
REGISTER[0] = 0
REGISTER[1] = 1
REGISTER[2] = 2
REGISTER[3] = 3
REGISTER[4] = 4
REGISTER[5] = 5
REGISTER[6] = 6
REGISTER[7] = 7
REGISTER[8] = 8
REGISTER[9] = 9
REGISTER[10] = 10
REGISTER[11] = 11
REGISTER[12] = 12
REGISTER[13] = 13
REGISTER[14] = 14
REGISTER[15] = 15
REGISTER[16] = 16
REGISTER[17] = 17
REGISTER[18] = 18
REGISTER[19] = 19
REGISTER[20] = 20
REGISTER[21] = 21
REGISTER[22] = 22
REGISTER[23] = 23
REGISTER[24] = 24
REGISTER[25] = 25
REGISTER[26] = 26
REGISTER[27] = 27
REGISTER[28] = 28
REGISTER[29] = 29
REGISTER[30] = 30
REGISTER[31] = 0
RAM[0] = 0
RAM[1] = 5
RAM[2] = 10
RAM[3] = 15
RAM[4] = 20
RAM[5] = 25
RAM[6] = 30
RAM[7] = 35
RAM[8] = 40
RAM[9] = 45
RAM[10] = 50
RAM[11] = 55
RAM[12] = 60
RAM[13] = 65
RAM[14] = 70
RAM[15] = 75
RAM[16] = 80
RAM[17] = 85
RAM[18] = 90
RAM[19] = 95
RAM[20] = 100
RAM[21] = 105
RAM[22] = 110
RAM[23] = 115
RAM[24] = 120
RAM[25] = 125
RAM[26] = 130
RAM[27] = 135
RAM[28] = 140
RAM[29] = 145
RAM[30] = 150
RAM[31] = 155
REGISTER[0] = 0
REGISTER[1] = 1
REGISTER[2] = 2
REGISTER[3] = 3
REGISTER[4] = 4
REGISTER[5] = 5
REGISTER[6] = 6
REGISTER[7] = 7
REGISTER[8] = 8
REGISTER[9] = 9
REGISTER[10] = 10
REGISTER[11] = 11
REGISTER[12] = 12
REGISTER[13] = 13
REGISTER[14] = 14
REGISTER[15] = 15
REGISTER[16] = 16
REGISTER[17] = 17
REGISTER[18] = 18
REGISTER[19] = 19
REGISTER[20] = 20
REGISTER[21] = 21
REGISTER[22] = 22
REGISTER[23] = 23
REGISTER[24] = 24
REGISTER[25] = 25
REGISTER[26] = 26
REGISTER[27] = 27
REGISTER[28] = 28
REGISTER[29] = 29
REGISTER[30] = 30
REGISTER[31] = 0
RAM[0] = 0
RAM[1] = 5
RAM[2] = 10
RAM[3] = 15
RAM[4] = 20
RAM[5] = 25
RAM[6] = 30
RAM[7] = 35
RAM[8] = 40
RAM[9] = 45
RAM[10] = 50
RAM[11] = 55
RAM[12] = 60
RAM[13] = 65
RAM[14] = 70
RAM[15] = 75
RAM[16] = 80
RAM[17] = 85
RAM[18] = 90
RAM[19] = 95
RAM[20] = 100
RAM[21] = 105
RAM[22] = 110
RAM[23] = 115
RAM[24] = 120
RAM[25] = 125
RAM[26] = 130
RAM[27] = 135
RAM[28] = 140
RAM[29] = 145
RAM[30] = 150
RAM[31] = 155
REGISTER[0] = 0
REGISTER[1] = 1
REGISTER[2] = 2
REGISTER[3] = 3
REGISTER[4] = 4
REGISTER[5] = 5
REGISTER[6] = 6
REGISTER[7] = 7
REGISTER[8] = 8
REGISTER[9] = 9
REGISTER[10] = 10
REGISTER[11] = 11
REGISTER[12] = 12
REGISTER[13] = 13
REGISTER[14] = 14
REGISTER[15] = 15
REGISTER[16] = 16
REGISTER[17] = 17
REGISTER[18] = 18
REGISTER[19] = 19
REGISTER[20] = 20
REGISTER[21] = 21
